category,previous_day_doses_administered,total_doses_administered,total_doses_in_fully_vaccinated_individuals,total_individuals_fully_vaccinated
Thu Dec 24 2020,,10756,,
Fri Dec 25 2020,4595,18603,,
Sat Dec 26 2020,5463,23502,,
Sun Dec 27 2020,5415,28887,,
Mon Dec 28 2020,4305,33191,,
Tue Dec 29 2020,4361,37551,,
Wed Dec 30 2020,4808,42419,,
Thu Dec 31 2020,7607,50030,,
Fri Jan 01 2021,10350,60380,860,430
Sat Jan 02 2021,12251,72631,2173,1087
Sun Jan 03 2021,14932,87563,4053,2027
Mon Jan 04 2021,15700,103263,5880,2940
Tue Jan 05 2021,9983,113246,5884,2942
Wed Jan 06 2021,8859,122105,5884,2942
Thu Jan 07 2021,11448,133553,6046,3023
Fri Jan 08 2021,11231,144784,8778,4389
Sat Jan 09 2021,14237,159021,13293,6647
Sun Jan 10 2021,15609,174630,17094,8547
Mon Jan 11 2021,14460,189090,19333,9667
Tue Jan 12 2021,11007,200097,21714,10857
Wed Jan 13 2021,9691,209788,21752,10876
Thu Jan 14 2021,14346,224134,25609,12805
Fri Jan 15 2021,13784,237918,32361,16181
Sat Jan 16 2021,15899,253817,40225,20113
Sun Jan 17 2021,11168,264985,49292,24646
Mon Jan 18 2021,11161,276146,57907,28954
Tue Jan 19 2021,4427,280573,62881,31441
Wed Jan 20 2021,5537,286110,71256,35628
Thu Jan 21 2021,9707,295817,83285,41643
Fri Jan 22 2021,9513,305330,96459,48230
Sat Jan 23 2021,11910,317240,110571,55286
Sun Jan 24 2021,10215,327455,123357,61679
Mon Jan 25 2021,9373,336828,135574,67787
Tue Jan 26 2021,2816,339644,137698,68849
Wed Jan 27 2021,2256,341900,140585,70293
Thu Jan 28 2021,2715,344615,144113,72057
Fri Jan 29 2021,3716,348331,149987,74994
Sat Jan 30 2021,6724,355055,161954,80977
Sun Jan 31 2021,7694,362749,175662,87831
Mon Feb 01 2021,9917,372666,193146,96573
Tue Feb 02 2021,6518,379184,203487,101744
Wed Feb 03 2021,6987,386171,212326,106163
Thu Feb 04 2021,12462,398633,231058,115529
Fri Feb 05 2021,13486,412119,251449,125725
Sat Feb 06 2021,14717,426836,273975,136988
Sun Feb 07 2021,15605,442441,302563,151282
Mon Feb 08 2021,14506,456947,328614,164307
Tue Feb 09 2021,10679,467626,349286,174643
Wed Feb 10 2021,7698,475324,364274,182137
Thu Feb 11 2021,5053,480377,373867,186934
Fri Feb 12 2021,9107,489484,390731,195366
Sat Feb 13 2021,12383,501867,411604,205802
Sun Feb 14 2021,16967,518834,435429,217715
Mon Feb 15 2021,21295,540129,458301,229151
Tue Feb 16 2021,16404,556533,471843,235922
Wed Feb 17 2021,12922,569455,481337,240669
Thu Feb 18 2021,16252,585707,494083,247042
Fri Feb 19 2021,17141,602848,503180,251590
Sat Feb 20 2021,19112,621960,510897,255449
Sun Feb 21 2021,21805,643765,516028,258014
Mon Feb 22 2021,24339,668104,521943,260972
Tue Feb 23 2021,19167,687271,524205,262103
Wed Feb 24 2021,17424,704695,526427,263214
Thu Feb 25 2021,22326,727021,529792,264896
Fri Feb 26 2021,27398,754419,533420,266710
Sat Feb 27 2021,30409,784828,536235,268118
Sun Feb 28 2021,35886,820714,538126,269063
Mon Mar 01 2021,39698,860412,541250,270625
Tue Mar 02 2021,30192,890604,543614,271807
Wed Mar 03 2021,21882,912486,547352,273676
Thu Mar 04 2021,31047,943533,552385,276193
Fri Mar 05 2021,35264,978797,558407,279204
Sat Mar 06 2021,40610,1019407,563428,281714
Sun Mar 07 2021,43503,1062910,565495,282748
Mon Mar 08 2021,53586,1116496,569371,284686
Tue Mar 09 2021,41859,1158355,571229,285615
Wed Mar 10 2021,33198,1191553,574566,287283
Thu Mar 11 2021,51579,1243132,577836,288918
Fri Mar 12 2021,58202,1301334,581318,290659
Sat Mar 13 2021,58119,1359453,584537,292269
Sun Mar 14 2021,61146,1420599,589498,294749
Mon Mar 15 2021,60283,1480882,594267,297134
Tue Mar 16 2021,40823,1521705,597098,298549
Wed Mar 17 2021,31335,1553040,598594,299297
Thu Mar 18 2021,50659,1603699,602086,301043
Fri Mar 19 2021,72451,1676150,605328,302664
Sat Mar 20 2021,79446,1755596,608771,304386
Sun Mar 21 2021,82996,1838592,612746,306373
Mon Mar 22 2021,77740,1916332,616602,308301
Tue Mar 23 2021,64950,1981282,618570,309285
Wed Mar 24 2021,50453,2031735,622495,311248
Thu Mar 25 2021,70645,2102380,627778,313889
Fri Mar 26 2021,89873,2192253,631639,315820
Sat Mar 27 2021,84060,2276313,635430,317715
Sun Mar 28 2021,88183,2364496,640700,320350
Mon Mar 29 2021,59567,2424063,642937,321469
Tue Mar 30 2021,69125,2493188,644095,322048
Wed Mar 31 2021,52452,2545640,644393,322197
Thu Apr 01 2021,76199,2621839,646295,323148
Fri Apr 02 2021,104382,2726221,649566,324783
Sat Apr 03 2021,108563,2834784,652719,326360
Sun Apr 04 2021,105382,2940166,657719,328598
Mon Apr 05 2021,104783,3044949,661963,330982
Tue Apr 06 2021,94794,3139743,666299,333150
Wed Apr 07 2021,74722,3214465,666838,333419
Thu Apr 08 2021,95692,3310157,670524,335262
Fri Apr 09 2021,112817,3422974,674411,337206
Sat Apr 10 2021,105430,3528404,678981,339491
Sun Apr 11 2021,115634,3644038,683866,341933
Mon Apr 12 2021,107278,3751316,688488,344244
Tue Apr 13 2021,86565,3837881,690620,345310
Wed Apr 14 2021,66897,3904778,692010,346005
Thu Apr 15 2021,90409,3995187,695194,347597
Fri Apr 16 2021,136695,4131882,698791,349396
Sat Apr 17 2021,134920,4266802,702707,351354
Sun Apr 18 2021,133872,4400674,710416,355208
Mon Apr 19 2021,126694,4527368,717552,358776
Tue Apr 20 2021,99535,4626903,720708,360354
Wed Apr 21 2021,69308,4696211,722332,361166
Thu Apr 22 2021,94819,4791030,725126,362563
Fri Apr 23 2021,116173,4907203,730332,365166
Sat Apr 24 2021,120567,5027770,736806,368403
Sun Apr 25 2021,112214,5139984,742220,371110
Mon Apr 26 2021,107700,5247684,747118,373559
Tue Apr 27 2021,76685,5324369,750560,375280
Wed Apr 28 2021,53880,5378249,751810,375905
Thu Apr 29 2021,88871,5467120,756170,378085
Fri Apr 30 2021,132603,5599723,762246,381123
Sat May 01 2021,141038,5740761,769178,384589
Sun May 02 2021,144724,5885485,774968,387484
Mon May 03 2021,138125,6023610,781980,390990
Tue May 04 2021,121075,6144685,785670,392835
Wed May 05 2021,94093,6238778,787768,393884
Thu May 06 2021,112103,6350881,793574,396787
Fri May 07 2021,140785,6491666,804516,402258
Sat May 08 2021,137697,6629363,815200,407600
Sun May 09 2021,141765,6771128,831062,415531
Mon May 10 2021,154104,6925232,845920,422960
